,Label,Example Picture,Description,Prevention,Treatment
24,Soybean__healthy,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Soybean___healthy/01104aee-fd81-4d74-9ff3-5e793da256be___RS_HL%204502.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T224102Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=b0216a0867bc44ff44b281f60817ce28a18519dc76f64db9410cdd2e41f2f368c14d92218b5d5863d63998d3ba4b852a77282b1fd4eab56c932bf643a7a1662da60d73b930f19529ef81c9f4fa70e947c07d4b1493330e86bb6f4b3647b989f046c4d2a2285b64500735fe62065f5d6f9620d95f2a1b3e89250c6d9590438aafe78ee6d5830935df5729bae7b635677324cdf26ef424df05475e273a5c9a199193508ee73ec34aaf9b6c722694638c2e49a4cb29977f5cf78d042013b22d8a7899bc35aed8bdf1ab56330928833527c6b5669bf8afb5a04f24b0f4b2e125c2e29dbf0e0bf70e1c83f84887c1d7e2b2436f2b8c11e15b9f7c1dacadb6cc0e335c,"Deep, vibrant green color: Healthy potato leaves should have a rich, consistent green color throughout the entire leaf surface.Smooth and matte texture: The leaves should have a smooth, matte finish without any bumps, wrinkles, or waxy sheen.Firm and flexible: Healthy leaves are firm and flexible to the touch, not wilted, brittle, or papery.Uniform size and shape: The leaves should be relatively uniform in size and shape, with smooth, well-defined edges.Veins: Veins are clearly visible but not raised or discolored.No visible spots or blemishes: The absence of any spots, lesions, holes, or discoloration indicates good health.","Maintain proper watering practices, avoiding overwatering or underwatering.Provide adequate sunlight, typically around 6-8 hours per day.Fertilize regularly with a balanced fertilizer suitable for vegetables.Space plants adequately to allow for good air circulation and prevent overcrowding.Regularly monitor your plants for signs of pests or diseases and take appropriate action if necessary.",
25,Squash__Powdery_mildew,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Squash___Powdery_mildew/0056878d-a244-4653-ad56-7e97080c7fd2___UMD_Powd.M%209962.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T224202Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=78daa238221c99e3908c19592909fcbb889a9008658d3f1030f01b6cd8473eb0b18477f282b93493353d55a5dafe3706b5d6a911aae1b6ac69d047171fac312b0c7eec39b7d24ef85ba443b27924424d26c3c39526a979f60925d7c3a98f6c65aa4327eb1da614222c3df097b608afcda8918ad2be77810cc9728e8a8b4ba9629e66830db86644d08137625e665966fb86450c2e4f0428226b2994f67e60a0c0b1512d806cca73f7c641d22f55289c7e5a0b767e0491bdf5700f929a2e1e119406b897a96a61f687001dd15826edfa3887b370a88d942b8798095d7b362aa3641b0e5d953ac5e0e0f8341eebed7ebfba623d6df2d6890958d734f04cc56fee65,"Healthy raspberry leaves are rich green, smooth, and firm with serrated edges. No visible spots or blemishes indicate a healthy plant.","Proper watering: Avoid overwatering or underwatering, providing consistent moisture to the soil.Sunlight: Ensure adequate sunlight exposure, typically around 6-8 hours daily.Balanced fertilization: Regularly fertilize with a balanced fertilizer suitable for berry crops, following recommended application rates.Spacing: Plant raspberries at appropriate distances to allow for good air circulation and prevent overcrowding, which can create a favorable environment for disease development.Pruning: Prune raspberry canes regularly to remove dead, diseased, or weak growth, promoting healthy new growth and air circulation.Mulching: Apply a layer of organic mulch around the base of the plants to suppress weeds, retain moisture, and regulate soil temperature.Monitoring: Regularly inspect your raspberry plants for signs of pests or diseases. Take appropriate action, such as using insecticidal soaps or introducing beneficial insects for pest control, or applying fungicides for disease management, if necessary.",
26,Strawberry__Leaf_scorch,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Strawberry___Leaf_scorch/029228d0-ad78-41fa-8370-5ac18df762b1___RS_L.Scorch%201556.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T224300Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=34190afcbd45ef157bc155ee3670ff1d62dc200632e382638732f419be3f475089542f8500cf9f995c43d59a8d7351539de8b8864725a4343833faf80f4b1a8429bd503a21cf5b4c5db346f9e5d7a9935b0af63cb9620a0d4a88bd360d0881ec6e153991e8ec85c0dff310a229caff0d84523d301e19985a888aea35736982eea99f16b80d39236cf6ac4085e29ea9a793b975451983e72f2ea01553acac26561255375b624da7dfd66baa8beb61cf164161a08a7f21abe90f76c4b891abace55f3de1ba3de2d4d96ac92dab07f145e2b79db7980273746afdc76d50d83244771f0f045e2d60097e14a539fbe097cf9c59b4395e1e3434e57c90e3824af3e337,"Healthy soybean leaves are vibrant green, smooth, and have three distinct leaflets per leaf.","Crop rotation: Rotate soybean crops with other unrelated crops to break disease cycles in the soil.Resistant varieties: Choose soybean varieties known for resistance to common diseases in your region.Balanced fertilization: Apply fertilizer according to soil test results and follow recommended rates.Proper watering: Avoid overwatering or underwatering, providing consistent moisture.Weed control: Manage weeds effectively to prevent competition for resources and reduce the risk of disease harboring.Monitoring: Regularly inspect your soybean plants for signs of pests or diseases. Take appropriate action, such as using insecticidal soaps or applying fungicides, if necessary.",
27,Strawberry__healthy,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Strawberry___healthy/09b43094-79ca-4404-aafc-4c93eac76e06___RS_HL%204347.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T224343Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=b41dbe8f750aab7e16481c87b6d4fbf13a7fe52457a56a5e395e1723705c0928ea3dac193864e8d495cc5314c84e2950310ec8c699ffdb729f934865feb27afafad05ea46990659a21de8a547105d042ab841349a1c41b19bfe9f08404b77ba6c1566d508df860cb89b2ecb0101b728ece73b98f6e0f9fd24a876be5bf415ee34edc4727dde7b4b51ba3a49621a3cf9a20ed5be26dfb0649b9e827c626de9eb659e2c3fb802b282293f20472465a17787594e6df52a02b7348f3ec328d4707e62884b715d63507cf65df06e2f1f7aeb9e93df0c282db59f35a15c8f9e107826ebd00d74606585e846ff8026220c1c983d3307b4f30176f775217ba53bff06b5d,"White powdery patches: The most noticeable symptom is the appearance of white, powdery patches on the upper surface of the leaves.Yellowing and distortion: As the disease progresses, the leaves may turn yellow and become distorted or wrinkled.Stunted growth: Severely affected leaves may wither and drop, leading to stunted plant growth and reduced fruit yield.Spread: Powdery mildew can spread rapidly under cool, humid conditions, affecting other leaves and neighboring plants.","Plant resistant varieties: Choosing squash varieties known for powdery mildew resistance is the most effective preventative measure. Spacing: Plant squash with adequate spacing (around 3-4 feet apart) to improve air circulation and prevent overcrowding.Watering practices: Avoid overhead watering, as moisture on the leaves promotes fungal growth. Water deeply at the base of the plant instead.Sunlight: Plant squash in a location with good sunlight exposure, as sunlight helps dry the leaves and discourage fungal growth.Organic options: Spraying leaves with a mixture of 1 part milk to 4 parts water every 10 days can help suppress the fungus in early stages.","Fungicides: Once powdery mildew is established, applying fungicides containing sulfur or potassium bicarbonate can help slow its spread.Severe cases: In severe cases, heavily infected leaves may need to be removed and destroyed to prevent further spread within the garden.Cultural practices: Maintain good hygiene by removing infected leaves and debris, and avoid working with wet plants to minimize the risk of further spreading the fungus."
28,Tomato__Bacterial_spot,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Tomato___Bacterial_spot/0740bf94-09c3-4718-8375-6ceed7db97a3___GCREC_Bact.Sp%203628.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T224455Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=9fadb2a5f404ca166a28019ae59daa20f14cc3fcdfdc3726ba9a34dd4b895e5a337a238a7bfffe75451f0c062f40634b7bec488a3b71bc9c3e153d512bc85039fd6eb87b705514e47e317ea694f636d11acb266f8ce36c221b5457bed838ff02b5cd2eff9f267b87445bf3618fee5cb05cb9214a8c8a080e58fecc47b49230975e618cc60eda433e3ebb2b26a997ec5d41e93d7d8838cd49db14b2421637328d81f4b7aec2bea4dac174bb11f16bf70cb122ee62bb4dc9dda5ecc2df8ff5e0743acbf5049d4596efcc3f00bffb37db9adc9ba2d389ff38604bd6d0aa076e5d8ab80477dcf2b65ff5cd50af2bfcdb6a78a5d636be2cbbe606c04a95c98b299743,"Small, irregular purple spots: The initial symptom is the appearance of small, irregular, purplish spots or blotches on the upper surface of the leaves.Browning and enlargement: As the disease progresses, the centers of these spots turn brown and the lesions enlarge, sometimes merging together.Reddish-brown discoloration: Heavily affected leaves may appear entirely reddish-brown or scorched.Premature defoliation: In severe cases, leaves become dry and brittle, leading to premature defoliation.Black fruiting bodies: In advanced stages, tiny black fruiting bodies (acervuli) of the fungus may be visible on the undersides of the leaves.","Resistant varieties: Choosing strawberry cultivars known for resistance to leaf scorch is the most effective preventative measure.Cultural practices:Maintain good air circulation around plants by spacing them adequately and removing excess foliage.Avoid overhead watering, as moisture on the leaves promotes fungal growth. Water deeply at the base of the plants instead.Remove and destroy infected leaves and plant debris after harvest to reduce overwintering fungal spores.Rotate crops with non-host plants like lettuce, beans, or tomatoes to break the disease cycle.Fungicides: Apply preventative fungicides containing copper or chlorothalonil before the onset of warm, humid weather.","Fungicides: Once symptoms appear, fungicide application can still help slow the spread of the disease, but early intervention is crucial.Severe cases: In severe cases, heavily infected leaves may need to be removed and destroyed to prevent further spread within the strawberry patch.Hygiene: Maintain good hygiene by removing infected leaves and debris, and avoid working with wet plants to minimize the risk of further spreading the fungus"
29,Tomato__Early blight,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Tomato___Early_blight/074bc781-f586-46b0-bef5-0237e3bf5043___RS_Erly.B%208375.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T123321Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=903cb62dbc7183d5de4a2be8f44609cfc3331bfb1733924dfd046c1495217af825254cde4167a3c8cf3f057290bf03ce8e2170128e69233aabb7d81c0456ed4cb90a800b3418a47e18afbe9436ad0e688f133386821ce073abd7ccc37e8893f2009cebbd86dac69182745dd5166a11083ecdfe5e65a5a66fbad74c976313bef4287235abec6a6c7c2bd72e60f7faee678cc55ab7cc4ff902933ce3b86057e816273a31b2d181f1328d752c3795a7d15ec515dd554f70453235ca85f68267efec1021f03b604d1a962f8ff742d55c6d68c06d9dc0d2e16bad6d89bd3d587cc7c869472fb3726772bbd6ee4ece0d8f57b875d5be230fd2ccf1fdbc574b2d1cecc2,"Rich, vibrant green color: Healthy strawberry leaves should have a deep, consistent green color throughout the entire surface.Smooth and slightly glossy texture: The leaves should have a smooth, slightly glossy finish with a healthy sheen.Firm texture: Healthy leaves are firm and slightly flexible, not wilted, brittle, or papery.Serrated edges: The edges of the leaves should be finely serrated.Veins: Veins are visible but not raised or discolored.No visible spots or blemishes: The absence of any spots, lesions, discoloration, or holes indicates good health.","Maintain proper watering practices, avoiding overwatering or underwatering.Provide adequate sunlight, typically around 6-8 hours per day.Fertilize regularly with a balanced fertilizer suitable for vegetables.Space plants adequately to allow for good air circulation and prevent overcrowding.Regularly monitor your plants for signs of pests or diseases and take appropriate action if necessary.",
30,Tomato__Late_blight,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Tomato___Late_blight/0605d1be-b99b-408d-bace-e5ba23e72b27___RS_Late.B%205282.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T224613Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=5eadfcde2c377b322c88d7077fa31e60c296fca64a0eb7e460338f3dce12adc131bd5099f0e42709b41c21f12ff7ea0b1bc5a6244acd8312d51b73a8ba31c39f546f5c1ebf074a6d5326e2d9dcff37ad81fc6c5f697f244f452a08606616c17b243a92c6f2e28b1e7f128e3c5b9e8ad6f746644ee8e3b30f8241e78769cc6d057dc6c8fa688e73d11d8abd901af671d1cdb110fae84833bade9366c762375830e9acdf94920130af0febf7013cf57907d336dfff01d2099f629714dd9d131ff7e716f18818843eabb1773d404b4f875243af735bde543c97921b7efacb9f8a6e9ad18b163a04a37c769b9a8a3f053a816083f27647c3c8d55d7236d51a623487,"Small, water-soaked spots: These appear initially on the leaves, often starting as small, round, and sometimes translucent spots.Color change: The spots gradually turn brown or black as the disease progresses.Yellow halo: A characteristic feature is a yellow halo surrounding the brown or black lesions.Size: Leaf spots are typically small, usually less than 1/8 inch in diameter.Shape: Lesions are typically circular, although they can become irregular as they enlarge.Shot-hole appearance: In severe cases, the centers of the lesions may fall out, creating a ""shot-hole"" appearance in the leaves.Premature defoliation: Heavy infection can lead to extensive yellowing and premature dropping of leaves.","Plant certified disease-free transplants: This is crucial as the bacteria can survive on seeds and plant debris.Cultural practices:Rotate crops with non-host plants like corn, beans, or small grains to break the disease cycle.Avoid overhead watering, as moisture on the leaves promotes bacterial growth. Water deeply at the base of the plants instead.Space plants adequately to allow for good air circulation and prevent overcrowding.Remove and destroy infected plant debris after harvest to reduce overwintering bacterial populations.Copper fungicides: Apply copper-based fungicides as preventative sprays before transplanting and during the growing season, especially during periods of warm, humid weather.","Limited options: Once symptoms appear, treatment options are limited.Severe cases: In severe cases, heavily infected plants may need to be removed and destroyed to prevent further spread within the garden.Fungicides: In less severe cases, copper fungicides may still be applied to suppress the spread of the bacteria on the leaves.Hygiene: Maintain good garden hygiene by removing infected leaves and debris, and avoid working with wet plants to minimize the risk of further spreading the bacteria."
31,Tomato__Leaf Mold,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Tomato___Leaf_Mold/092442ed-3ad2-4195-8cd5-cc2ba74469e1___Crnl_L.Mold%206578.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T224700Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=75382e8bdce188918583cfa126f60f38f47c5cd439d9fc226945a712106adce9ad325ec699b873eeabc51ee7175dd75ea9a8ac2b943ca06fd76f41ddc0c91d349657b4ea70c7f140c37f65a511e47d64de8c1e43f6ebe9dece0eb7f465f565f392853f433df4939671148b19b1467fdb5cf157987fd3242c245143e15fbac4d7c2e284fbf8056cf95c57ad342499c03a2658c0a7afd37622acc4130043f755e79185604de1955845db53a97c2f6642c50edadefad6e9eddb7f67f702b7ee4ff4c1b9e08dfa943a9588f914cee7f8946bff76c1d738bc4119b8eb833100a5ba098ad32a62065e74e337972fa49b368a16c6c357e7b690ddabe19d5254ecdd510b,"Initial spots: Early symptoms appear as small, dark brown to black spots on the lower leaves, often starting near the ground.Enlargement: As the disease progresses, the lesions expand, becoming circular or irregular in shape and reaching up to ½ inch in diameter.Target-like appearance: Larger lesions often develop concentric rings, giving them a characteristic ""target spot"" appearance.Yellow halo: A yellow halo often surrounds the brown or black lesions.Spread: Early blight can spread upwards to affect younger leaves as the disease progresses.Defoliation: In severe cases, heavily infected leaves turn yellow, wither, and drop prematurely, leaving the lower part of the plant exposed and fruit vulnerable to sunscald.","Plant resistant varieties: Choosing tomato cultivars known for resistance to early blight is the most effective preventative measure.Cultural practices:Rotate crops with non-host plants like corn, beans, or small grains to break the disease cycle.Avoid overhead watering, as moisture on leaves promotes fungal growth. Water deeply at the base of the plants instead.Space plants adequately to allow for good air circulation and prevent overcrowding.Remove and destroy infected plant debris after harvest to reduce overwintering fungal spores.Fungicides: Apply preventative fungicides containing chlorothalonil, maneb, or copper before symptoms appear, especially during periods of warm, humid weather.","Fungicides: Once symptoms appear, fungicide application can still help slow the spread of the disease.Severe cases: In severe cases, heavily infected leaves may need to be removed and destroyed to prevent further spread within the garden.Hygiene: Maintain good garden hygiene by removing infected leaves and debris, and avoid working with wet plants to minimize the risk of further spreading the fungus"
32,Tomato__Septoria_leaf_spot,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Tomato___Septoria_leaf_spot/04840559-16ed-4f17-908b-2048ba83ab80___Keller.St_CG%201780.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T224753Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=8d790acf9bbba283cb8ed3aa99e3d5ea2ef615bae1f5505d5a9f0ca541e31ffbf13686705bb9489376aae028162f728f2cfbf7c442d918e5984a709314bfb25ce8f6ff4e642d30417f73462e0880db8916ddd7125ba6d1c85f38fd4aecec8ba2673bf1c197305f7e3dbd7885778df3229580a0eb4b37d810cad27762b7c1c7cbae3a33379734766857dea9fb9fa6a432f8d6fd12fdbcd47cb9250a27cd7ca68a02d2a51c9d5374f3c3e8cc5f1d3eac4d8a2937e277432012c570cb09048c8ed606f5c60bf08640ca5c1858f153c204e72cef6c1181fe88584ce49221258af120726f4193819b16474092119919725372ef7316362e0458fe24bd265de57ca1a0,"Water-soaked spots: Initial symptoms appear as small, irregular, light to dark green, water-soaked spots on the upper leaf surface.Enlargement: These spots rapidly expand, becoming larger, irregular, brown or black lesions.Greasy appearance: Under humid conditions, the lesions may develop a greasy or oily sheen.Size: Lesions can grow to cover large portions of the leaf surface.Margin: The margins of the lesions may be irregular or have a slightly wavy appearance.Halo: A pale green or yellow halo often surrounds the brown or black lesions.Sporulation: In humid conditions, white or grayish fungal growth (sporulation) may be visible on the underside of the lesions.","Plant resistant varieties: Choosing tomato cultivars known for resistance to late blight is the most effective preventative measure.Cultural practices:Rotate crops with non-host plants like corn, beans, or small grains to break the disease cycle.Avoid overhead watering, as moisture on leaves promotes fungal growth. Water deeply at the base of the plants instead.Space plants adequately to allow for good air circulation and prevent overcrowding.Remove and destroy infected plant debris after harvest to reduce overwintering fungal spores.Stake or cage tomato plants to keep foliage off the ground and promote drying.Fungicides: Apply preventative fungicides containing chlorothalonil, maneb, or copper before symptoms appear, especially during cool, humid weather.","Fungicides: Once symptoms appear, fungicide application can still help slow the spread of the disease, but early intervention is crucial.Severe cases: In severe cases, heavily infected plants may need to be removed and destroyed to prevent further spread within the garden.Hygiene: Maintain good garden hygiene by removing infected leaves and debris, and avoid working with wet plants to minimize the risk of further spreading the fungus"
33,Tomato__Spider_mites Two-spotted_spider_mite,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Tomato___Spider_mites%20Two-spotted_spider_mite/04b0cccf-da6f-4ad8-9ff9-0055170a990c___Com.G_SpM_FL%201284.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T224826Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=3835fd38f95e0afa96545a2cc6327a189be9dd8d2594dca91365bffad4cf4b79a3c354f18cc1fc1e8090670cf5123839f9a4bab4a3fc5394498ccaacffabd573938c63b2b1c2397be1e1ae8e716a233ae5fde090a060a5eb9036620201183da3a65b5fb479e94abe16810a4b564d69cada229e5cb80821694dc434a3ab7b7fc0a0389bb13ac4ce1db3002824f09c11fd27428f31ef4b25620b127bfac703fc0cfebe6db5fed4a3056ef7f607256b1aa5d9663beaa7beb625a5857d54daf70693cc8752df4724c9b338dc3e26ff4ff30bec52a84d2b5fa41881eb8cd7699394cdd7a52ba72d01f4907e03fe1935942aee541550eb52902943dc1cf06e2b84bae3,"Upper leaf surface:Pale green to yellowish spots: These appear initially on the upper leaf surface, typically starting small and without definite margins.Yellowing and merging: As the disease progresses, the spots turn bright yellow and may merge, covering larger areas of the leaf.Lower leaf surface:Olive-green to brown mold:Corresponding to the yellow spots above, a velvety mold growth develops on the underside of the leaves. This mold has an olive-green to brown color.Progression:Leaf curling and withering: Infected leaves often curl upwards and wither as the disease progresses.Defoliation: In severe cases, heavily infected leaves may drop prematurely, leaving the plant vulnerable.","Resistant varieties: Choosing tomato cultivars known for resistance to leaf mold is the most effective preventative measure.Greenhouse environment:Maintain good ventilation and air circulation within greenhouses to reduce humidity levels.Avoid overhead watering, as moisture on leaves promotes fungal growth. Water deeply at the base of the plants instead.Space plants adequately to prevent overcrowding and improve airflow. Remove and destroy infected plant debris after harvest to reduce overwintering fungal spores.Cultural practices: Rotate crops with non-host plants like corn, beans, or small grains to break the disease cycle. Stake or cage tomato plants to keep foliage off the ground and promote drying.","Fungicides: Once symptoms appear, fungicides containing copper or chlorothalonil can help slow the spread of the disease. Severe cases: In severe cases, heavily infected leaves may need to be removed and destroyed to prevent further spread within the greenhouse or garden. Hygiene: Maintain good hygiene by removing infected leaves and debris, and avoid working with wet plants to minimize the risk of further spreading the fungus."
34,Tomato__Target_spot,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Tomato___Target_Spot/0a610d40-f5b8-4580-8e32-cc90b3620017___Com.G_TgS_FL%208191.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T225008Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=aa87f793449d196a90f6a4f8b417eaa50e103d4b3bfbd037df28fa61de72ea305af9b7e073e7b9d4ff1db71b7dce6bd473a677abb5a0025b9d307e4a2dc7638b9ed3b415c10bd2ebd2e646bc1c41342e66f2569e6374e987a9fc127360290966a20364d7163d616cb60ffefca5b8e728e0738c26d2f02f2345df2aee21f511372ce1af3c732e2cd2d7d522a10bd063cd90b1a136222b39f5279eac0d9deb23d11f202c152d32f63999676b58b8da5728ef8c0f249da7d25361dd6b1527369a125cff4e847c03739f9b548089e92d83071ca165e71b2bc1c7e8fd4ae2897a49c0979389bc892686477a269413363c7f34e60c20059a80a15868e721d09ec92065,"Initial spots: Small, circular, gray lesions with dark brown or black borders appear on the older, lower leaves. Enlargement: These spots gradually enlarge, sometimes merging into irregular shapes. Size: Lesions typically range from 1/8 to 1/4 inch in diameter. Light-colored centers: As the lesions mature, the centers often turn light tan or grayish-white, giving them a characteristic ""bulls-eye"" appearance. Spread: The disease progresses upwards, affecting younger leaves as it spreads. Yellowing and withering: Infected leaves turn yellow around the lesions and eventually wither and drop.","Resistant varieties: Choosing tomato cultivars known for resistance to Septoria leaf spot is the most effective preventative measure. Cultural practices: Rotate crops with non-host plants like corn, beans, or small grains to break the disease cycle. Avoid overhead watering, as moisture on leaves promotes fungal growth. Water deeply at the base of the plants instead. Space plants adequately to allow for good air circulation and prevent overcrowding. Remove and destroy infected plant debris after harvest to reduce overwintering fungal spores. Fungicides: Apply preventative fungicides containing copper or chlorothalonil before symptoms appear, especially during periods of warm, humid weather.","Fungicides: Once symptoms appear, fungicides containing copper or chlorothalonil can help slow the spread of the disease. Severe cases: In severe cases, heavily infected leaves may need to be removed and destroyed to prevent further spread within the garden. Hygiene: Maintain good hygiene by removing infected leaves and debris, and avoid working with wet plants to minimize the risk of further spreading the fungus."
35,Tomato__Tomato_Yellow_Leaf_Curl_Virus,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/00b814ee-cfa9-489a-bed3-c1f927bef05a___YLCV_NREC%200220.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T225044Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=4c5a8381f6d083169db36bd6146cfe78c523d666aa532e72dd349fe1513478699a0a1052a9331ece1465a9954ee421487695f4051938aceb096ebc9e0113008c25bcfcb18e9df45cb64ecfb5c912c423abaf8c6aa4b58a91776bd30139fc26d1ea922b0949b336b9420f307387b2be9c4b05546cef087d6e260e8547bd988b40c27e9d44eab19adadd6f2207b2aec391fc517c852727f1e48dcdf9e5c21001b9c4b0a2f0845aaa7b381996f3c4905c384ecf0102dbb05b9e16f02935bfab2cbaffada17bc5541c58d13bdd940bc2e410fdb648e23d8d1327d89b94652712e9d4d9d55b195534cdf655c4ec9ad51c15e36ba556a29d4ce3ee45b6560f3b671db2,"Tiny size: Spider mites are very small, typically around 1/50th of an inch (0.5mm) long, making them difficult to see with the naked eye. A magnifying glass can be helpful. Color variation: They can be yellow, green, brown, or reddish, often with two darker spots on their bodies (hence the name ""two-spotted spider mite""). Location: Primarily found on the undersides of leaves, where they feed on plant sap. In severe infestations, they may also be visible on the upper leaf surface. Movement: Slow-moving but can be seen crawling on the leaves. Indirect signs on leaves: Stippling: Tiny, yellow or bronze-colored stippling on the upper leaf surface, caused by mites piercing the leaves to feed. Webbing: Fine webbing on the undersides of leaves, particularly around leaf veins where mites congregate, as the infestation progresses. Leaf discoloration: Yellowing, bronzing, or browning of leaves, eventually leading to withering and dropping.","Regular monitoring: Regularly inspect the undersides of leaves for mites or signs of damage. Watering practices: Avoid water stress by providing consistent moisture to your tomato plants. Beneficial insects: Encourage ladybugs, lacewings, and predatory mites, natural enemies of spider mites, to control their populations. Resistant varieties: Choose tomato varieties known to be resistant to spider mites if available","Insecticidal soap: Spray directly on the mites, especially in early infestations. Organic pesticides: Neem oil or horticultural oil can be used for control. Predatory mites: Introduce commercially available predatory mites for long-term biological control. Insecticides: In severe cases, chemical insecticides may be necessary, but use them carefully considering potential harm to beneficial insects and follow application instructions strictly."
